Altium Designer Pick and Place Locations
C:\Users\Samet AKIN\Desktop\samet\altium_project\BYS_hyperloop\Project Outputs for BYS_hyperloop\Pick Place for BYS_PCB1.csv

========================================================================================================================
File Design Information:

Date:       29.05.25
Time:       21:25
Revision:   834ae013f5aed90d43b6a3eec74d2d819fc496ba
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"IC2","ArduinoNano","TopLayer","ArduinoNano_3D","881.102","2248.819","180","ArduinoNano 3D"
"J?","M20-7830842","TopLayer","HARWIN_M20-7830845","2086.614","2185.039","0","CONN RCPT 16POS 0.1 GOLD PCB"
"J2","B2B-XH-A(LF)(SN)","TopLayer","JST_XH_B2B-XH-A","157.480","1476.378","90","CONN HEADER VERT 2POS 2.5MM"
"U1","ACS758","TopLayer","ACS758","1377.953","1009.055","180","Current Sensor 150A 1 Channel Hall Effect, Open Loop Unidirectional 5-CB Formed Leads, PFF"
"J7","SMT XT90 CONNECTOR","TopLayer","XT90_PW-M","3200.787","750.000","90",""
"J6","SMT XT90 CONNECTOR","TopLayer","XT90_PW-M","618.110","746.063","270",""
"R15","10 kOhms","TopLayer","RES_0805_2012","2598.425","1771.653","270","RES SMD 10K OHM 0.01% 1/5W 0805"
"R14","10 kOhms","TopLayer","RES_0805_2012","2500.000","1771.653","90","RES SMD 10K OHM 0.01% 1/5W 0805"
"R13","100 Ohms","TopLayer","RES_1206_3216","2352.362","1604.331","0","RES 100 OHM 1% 1/2W 1206"
"R12","22 kOhms","TopLayer","YAGEO_RES_1206_3216","2116.142","1496.063","270","RES SMD 22K OHM 0.1% 1/4W 1206"
"R11","10 kOhms","TopLayer","RES_0603_1608","1250.000","1614.173","90","RES SMD 10K OHM 0.1% 1/16W 0603"
"R10","0 Ohms","TopLayer","YAGEO_RES_RK73_RS73_SG73_0805_2012","1633.858","1633.858","270","RESISTOR"
"R9","0 Ohms","TopLayer","YAGEO_RES_RK73_RS73_SG73_0805_2012","1850.394","1633.858","90","RESISTOR"
"R8","0 Ohms","TopLayer","YAGEO_RES_RK73_RS73_SG73_0805_2012","1003.937","1624.016","270","RESISTOR"
"R7","0 Ohms","TopLayer","RES_1206_3216","797.244","1633.858","270","RES SMD 0 OHM JUMPER 1/4W 1206"
"R6","0 Ohms","TopLayer","RES_0805_2012","620.079","1633.858","270","RES 0 OHM JUMPER 1/8W 0805"
"R5","10 kOhms","TopLayer","RES_0805_2012","452.756","1633.858","270","RES SMD 10K OHM 0.01% 1/5W 0805"
"R4","0 Ohms","TopLayer","RES_1206_3216","797.244","1407.480","270","RES SMD 0 OHM JUMPER 1/4W 1206"
"R3","0 Ohms","TopLayer","RES_0805_2012","620.079","1427.165","270","RES 0 OHM JUMPER 1/8W 0805"
"R2","100 kOhms","TopLayer","RES_0805_2012","452.756","1437.008","270","RES 100K OHM 1% 1/8W 0805"
"Q3","ZXTN25060BFHTA","TopLayer","DIODES_SOT-23-3","2559.055","1604.331","270","TRANS NPN 60V 3.5A SOT23-3"
"Q2","PMOS","TopLayer","TO-263-3-2","2598.425","850.394","270",""
"Q1","PMOS","TopLayer","TO-263-3-2","2086.614","850.394","270",""
"J5","B5B-XH-A(LF)(SN)","TopLayer","JST_XH_B5B-XH-A","2716.535","2539.370","90","CONN HEADER VERT 5POS 2.5MM"
"J4","B5B-XH-A(LF)(SN)","TopLayer","JST_XH_B5B-XH-A","3090.551","2539.370","90","CONN HEADER VERT 5POS 2.5MM"
"J3","B5B-XH-A(LF)(SN)","TopLayer","JST_XH_B5B-XH-A","3444.882","2539.370","90","CONN HEADER VERT 5POS 2.5MM"
"J1","XT30_PW-M","TopLayer","XT30_PW-M","3543.307","1574.803","270",""
"IC1","LD1117S50TR","TopLayer","ST_SOT-223","3070.866","1594.488","180","IC REG LINEAR 5V 800MA SOT223"
"D3","SMAZ15-TP","TopLayer","DO214AC_SMA","2372.047","1456.693","180","DIODE ZENER 15V 1W DO214AC"
"D1","BAS20W-7-F","TopLayer","DIODES_SOT-323-3","3090.551","1811.024","0","DIODE GEN PURP 150V 200MA SOT323"
"C4","0.1µF","TopLayer","CAP_0603_1608","1456.693","1614.173","270","CAP CER 0.1UF 50V Y5V 0603"
"C3","2.2µF","TopLayer","CAP_0603_1608","1358.268","1614.173","270","CAP CER 2.2UF 16V X5R 0603"
"C2","22µF","TopLayer","CAP_0805_2012","2952.756","1850.394","270","CAP CER 22UF 10V X5R 0805"
"C1","10µF","TopLayer","CAP_0805_2012","3208.661","1850.394","90","CAP CER 10UF 25V X5R 0805"
